country;group;week;zscore
Belgium;Total;2024-46;-0.16
Belgium;Total;2024-47;0.24
Belgium;Total;2024-48;1.73
Belgium;Total;2024-49;1.84
Belgium;Total;2024-50;1.93
Cyprus;Total;2018-52;-0.3
Cyprus;Total;2019-01;1.38
Cyprus;Total;2019-02;2.95
Cyprus;Total;2019-03;2.57
Cyprus;Total;2019-04;2.41
Cyprus;Total;2019-05;2.46
Cyprus;Total;2019-06;2.86
Cyprus;Total;2019-07;1.46
Cyprus;Total;2019-08;1.06
Cyprus;Total;2019-09;1.45
Cyprus;Total;2019-10;0.64
Cyprus;Total;2019-11;1.13
Cyprus;Total;2019-12;-0.24
Cyprus;Total;2019-13;0.82
Cyprus;Total;2019-14;-0.04
Cyprus;Total;2019-15;-0.62
Cyprus;Total;2019-16;1.15
Cyprus;Total;2019-17;0.84
Cyprus;Total;2019-18;1.96
Cyprus;Total;2019-19;-1.16
Cyprus;Total;2019-20;0.29
Cyprus;Total;2019-21;1.36
Cyprus;Total;2019-22;2.32
Cyprus;Total;2019-23;-1.28
Cyprus;Total;2019-24;-0.5
Cyprus;Total;2019-25;0.75
Cyprus;Total;2019-26;-0.38
Cyprus;Total;2019-27;1.42
Cyprus;Total;2019-28;2.49
Cyprus;Total;2019-29;-0.95
Cyprus;Total;2019-30;-2.85
Cyprus;Total;2019-31;-0.06
Cyprus;Total;2019-32;1.68
Cyprus;Total;2019-33;-1.65
Cyprus;Total;2019-34;1.17
Cyprus;Total;2019-35;1.06
Cyprus;Total;2019-36;0.01
Cyprus;Total;2019-37;0.3
Cyprus;Total;2019-38;-1.23
Cyprus;Total;2019-39;-0.59
Cyprus;Total;2019-40;0.45
Cyprus;Total;2019-41;0.62
Cyprus;Total;2019-42;-0.48
Cyprus;Total;2019-43;-0.65
Cyprus;Total;2019-44;-0.65
Cyprus;Total;2019-45;-0.9
Cyprus;Total;2019-46;0.32
Cyprus;Total;2019-47;-1.47
Cyprus;Total;2019-48;1.21
Cyprus;Total;2019-49;0.13
Cyprus;Total;2019-50;0.06
Cyprus;Total;2019-51;2.7
Cyprus;Total;2019-52;-0.59
Cyprus;Total;2020-01;1.99
Cyprus;Total;2020-02;2.13
Cyprus;Total;2020-03;2.55
Cyprus;Total;2020-04;2.12
Cyprus;Total;2020-05;2.57
Cyprus;Total;2020-06;1.7
Cyprus;Total;2020-07;-1.06
Cyprus;Total;2020-08;1.53
Cyprus;Total;2020-09;1.08
Cyprus;Total;2020-10;-0.64
Cyprus;Total;2020-11;0.37
Cyprus;Total;2020-12;1.09
Cyprus;Total;2020-13;1.09
Cyprus;Total;2020-14;1.02
Cyprus;Total;2020-15;-1.28
Cyprus;Total;2020-16;0.1
Cyprus;Total;2020-17;-0.39
Cyprus;Total;2020-18;0.02
Cyprus;Total;2020-19;-0.81
Cyprus;Total;2020-20;1.66
Cyprus;Total;2020-21;5.29
Cyprus;Total;2020-22;-0.74
Cyprus;Total;2020-23;0.77
Cyprus;Total;2020-24;-1.91
Cyprus;Total;2020-25;-0.95
Cyprus;Total;2020-26;-0.54
Cyprus;Total;2020-27;0.1
Cyprus;Total;2020-28;0.06
Cyprus;Total;2020-29;-0.42
Cyprus;Total;2020-30;0.28
Cyprus;Total;2020-31;0.13
Cyprus;Total;2020-32;-2.06
Cyprus;Total;2020-33;-1.17
Cyprus;Total;2020-34;-0.32
Cyprus;Total;2020-35;-0.18
Cyprus;Total;2020-36;-1.53
Cyprus;Total;2020-37;0.82
Cyprus;Total;2020-38;-1.11
Cyprus;Total;2020-39;-0.82
Cyprus;Total;2020-40;-0.21
Cyprus;Total;2020-41;-0.88
Cyprus;Total;2020-42;-0.71
Cyprus;Total;2020-43;-0.2
Cyprus;Total;2020-44;-0.62
Cyprus;Total;2020-45;-0.54
Cyprus;Total;2020-46;0.57
Cyprus;Total;2020-47;-0.95
Cyprus;Total;2020-48;0.76
Cyprus;Total;2020-49;0.97
Cyprus;Total;2020-50;2.09
Cyprus;Total;2020-51;2
Cyprus;Total;2020-52;1.36
Cyprus;Total;2020-53;3.04
Cyprus;Total;2021-01;3.04
Cyprus;Total;2021-02;0.36
Cyprus;Total;2021-03;1.02
Cyprus;Total;2021-04;2.47
Cyprus;Total;2021-05;2.2
Cyprus;Total;2021-06;-0.55
Cyprus;Total;2021-07;1.02
Cyprus;Total;2021-08;0.56
Cyprus;Total;2021-09;0.02
Cyprus;Total;2021-10;-0.39
Cyprus;Total;2021-11;0.63
Cyprus;Total;2021-12;0.09
Cyprus;Total;2021-13;1.14
Cyprus;Total;2021-14;2.34
Cyprus;Total;2021-15;3.47
Cyprus;Total;2021-16;2.03
Cyprus;Total;2021-17;2.06
Cyprus;Total;2021-18;3.21
Cyprus;Total;2021-19;-0.48
Cyprus;Total;2021-20;-1.87
Cyprus;Total;2021-21;0.35
Cyprus;Total;2021-22;0.27
Cyprus;Total;2021-23;-0.24
Cyprus;Total;2021-24;-0.01
Cyprus;Total;2021-25;0.05
Cyprus;Total;2021-26;2.35
Cyprus;Total;2021-27;1.53
Cyprus;Total;2021-28;2.8
Cyprus;Total;2021-29;3.2
Cyprus;Total;2021-30;4.19
Cyprus;Total;2021-31;5.28
Cyprus;Total;2021-32;4.85
Cyprus;Total;2021-33;1.98
Cyprus;Total;2021-34;3.49
Cyprus;Total;2021-35;2.78
Cyprus;Total;2021-36;1.96
Cyprus;Total;2021-37;1.91
Cyprus;Total;2021-38;1.37
Cyprus;Total;2021-39;1.3
Cyprus;Total;2021-40;0.81
Cyprus;Total;2021-41;1.68
Cyprus;Total;2021-42;1.03
Cyprus;Total;2021-43;-0.1
Cyprus;Total;2021-44;-1.01
Cyprus;Total;2021-45;1.73
Cyprus;Total;2021-46;3.35
Cyprus;Total;2021-47;1.29
Cyprus;Total;2021-48;2.26
Cyprus;Total;2021-49;1.52
Cyprus;Total;2021-50;2.87
Cyprus;Total;2021-51;1.97
Cyprus;Total;2021-52;4.03
Cyprus;Total;2022-01;4.45
Cyprus;Total;2022-02;2.95
Cyprus;Total;2022-03;5.3
Cyprus;Total;2022-04;3.26
Cyprus;Total;2022-05;4.79
Cyprus;Total;2022-06;3.71
Cyprus;Total;2022-07;2.85
Cyprus;Total;2022-08;3.21
Cyprus;Total;2022-09;1.47
Cyprus;Total;2022-10;1.74
Cyprus;Total;2022-11;2.97
Cyprus;Total;2022-12;4.41
Cyprus;Total;2022-13;5.78
Cyprus;Total;2022-14;4.19
Cyprus;Total;2022-15;2.25
Cyprus;Total;2022-16;-0.02
Cyprus;Total;2022-17;1.56
Cyprus;Total;2022-18;0
Cyprus;Total;2022-19;-0.49
Cyprus;Total;2022-20;0.42
Cyprus;Total;2022-21;0.5
Cyprus;Total;2022-22;-0.83
Cyprus;Total;2022-23;-0.93
Cyprus;Total;2022-24;0.64
Cyprus;Total;2022-25;-0.54
Cyprus;Total;2022-26;-0.15
Cyprus;Total;2022-27;0.56
Cyprus;Total;2022-28;3.46
Cyprus;Total;2022-29;-0.12
Cyprus;Total;2022-30;2.89
Cyprus;Total;2022-31;0.56
Cyprus;Total;2022-32;1.98
Cyprus;Total;2022-33;-0.62
